C,I,B,P,R,scenario,label
0.9748357076505616,0.9430867849414407,0.9823844269050346,1.0,0.9382923312638332,none,0
0.9382931521525409,1.0,0.9883717364576454,0.9265262807032524,0.9771280021792982,none,0
0.9268291153593768,0.9267135123214871,0.9620981135783017,0.8543359877671101,0.8637541083743483,none,0
0.9218856235379513,0.8993584439832788,0.9657123666297637,0.9045987962239395,0.8793848149332354,none,0
1.0,0.9387111849756732,0.9533764102343961,0.8787625906893272,0.9227808637737408,none,0
0.9555461294854932,0.8924503211288848,0.9687849009172835,0.9199680655040597,0.9354153125103362,none,0
0.9199146693885301,1.0,0.9493251387631032,0.897114453552205,0.9911272456051594,none,0
0.8889578175014489,0.9604431797502377,0.8520164938060112,0.8835906975550785,0.9598430617934561,none,0
0.9869233289997705,0.9585684140594984,0.9442175858805879,0.9349448152205355,0.8760739004816286,none,0
0.9140077895802645,0.9269680614520106,1.0,0.967180914478423,0.8618479922318633,none,0
0.9662041984697397,0.9307458859791842,0.916153899984702,0.9805838144420433,1.0,none,0
0.9965640059558099,0.908039123838868,0.9345393812074392,0.9665631715701781,0.9987772563561179,none,0
0.9260412881077354,0.9407170511668091,0.8946832512996985,0.8901896687959664,0.9906262911197099,none,0
1.0,0.9463994939209832,1.0,0.9680818012523816,0.9177440122697438,none,0
0.9680697802754207,1.0,0.9482086980445024,1.0,0.8190127447955127,none,0
0.9910951252187612,0.9543523534119085,0.9350496324767066,0.9545880388267751,0.8506215542699553,none,0
0.9390164056081244,0.9678556285755873,1.0,0.9240864890863176,0.9095753198553406,none,0
0.9249121478207731,0.9957701058851036,0.9664375554829842,0.9235119898116481,0.9756633716556677,none,0
0.954853877467402,0.9984322495266444,0.9148973453061323,0.9336168926701115,0.9303945923433921,none,0
0.876824252593394,0.9648060138532287,0.9630527636089944,0.950255672832123,0.9382706433312427,none,0
0.8792314628974792,0.928967733861732,0.9328642741736615,0.909886136538919,0.9419357144166995,none,0
0.9702025428407268,1.0,0.958728890641592,0.9628775195361382,0.9462777042116916,none,0
0.8540614392350478,0.9486743062275391,0.9530115104970512,1.0,0.9403819517609439,none,0
0.9650773671166806,0.9482644115147378,0.8915660981190233,1.0,0.9875966516343386,none,0
0.9895515973521523,0.904530627260263,1.0,0.8799074468603859,0.9793428546900135,none,0
1.0,0.9004731837434655,0.9216851135198614,0.954982568254382,0.92482621729419,none,0
0.8724668284466933,0.9534281487403014,0.8968848143136947,0.973679621531759,0.9040287882883098,none,0
1.0,0.9108373353831881,0.9338969241897161,0.9906758608684835,0.8884567841783022,none,0
0.9613729967302064,1.0,0.8696258382719386,0.9592316929266151,0.9629941397124211,none,0
0.9890911435888655,0.8881524644560959,0.8839771693457862,0.9760970782808448,0.9648492336616593,none,0
0.9625246425172937,0.9673224104748488,0.9159987639210754,0.9616126848580502,0.964653623664934,none,0
0.9142824290986815,1.0,0.9736916460455893,0.8904348251398675,0.9828276804316914,none,0
0.9012659164886339,0.9893542301871225,1.0,0.9089658840824144,0.9981688064622161,none,0
0.9706390463468249,0.9911030079997245,1.0,0.9377305941998564,0.9123131917821254,none,0
0.9055242785187237,0.909209485751728,0.9461449145292947,0.9670575987408322,0.9638345399665009,none,0
0.9913591624518011,0.9506500945938953,1.0,0.9367671583381022,1.0,none,0
0.9812833673882503,0.9071421221791858,0.8964553750969444,0.9741236207621592,0.9388268607337074,none,0
0.9857000247046046,0.9736618812286773,0.9463585543671563,0.9076603140965797,0.8742576387657067,none,0
0.9276742523966489,0.9928199397161735,0.9607046872065101,0.8877130610644005,0.958659046292559,none,0
0.9692658689864418,0.9058071281899434,0.9576862552972764,0.9529104359223,0.8928514851084688,none,0
0.9678893680174141,0.9780392263184117,1.0,1.0,0.8811165316021454,none,0
0.9031087480042438,0.9757517633604329,0.9756892975456104,0.9757523843153023,1.0,none,0
0.9785445255346583,1.0,0.99770008817466,0.9825695625652898,0.9342365377679827,none,0
0.9879484610246634,0.9113587392731214,0.9381590696629996,0.9257318226085448,0.9540937069693161,none,0
1.0,0.8566367403704125,0.9843130095187256,0.8693642064405174,0.9264034067105282,none,0
1.0,0.953214000954773,0.8961127611035347,0.9142348145370015,0.9839798874467337,none,0
0.9134816684141431,0.9608229294790988,0.9522785919951906,0.9174199826197091,1.0,none,0
0.9816959511159005,0.8487428706671196,0.9593227157384714,0.9169106767615806,0.9926216667398111,none,0
0.9103739630783649,0.944263177926655,0.9752493639490228,0.993287759708506,0.8899851796472111,none,0
0.9332749382079525,0.9262527344419521,0.9173335383713144,1.0,0.9702490855480478,none,0
0.8869558022832477,0.9958930973527388,1.0,1.0,0.8740315017022993,none,0
0.9257882963566874,1.0,0.9146165267190609,0.9721909714073114,0.9887317026714668,none,0
0.9036534764210958,0.9470237321969099,0.7879366329965463,0.8987806179332855,0.937371592430342,none,0
0.8876108409017575,1.0,0.8784929311019684,0.9279977756651507,0.9565370288643045,none,0
1.0,0.878206892441028,1.0,0.9505116530509793,0.9009245674476024,none,0
0.9731051737131635,0.9599529847786734,0.9199891561420602,0.9534901042495009,0.9307343201569119,none,0
0.9556758672625624,0.9831065337260523,1.0,0.8881092250586575,1.0,none,0
0.8523956100238749,0.9424107452482208,0.9794158603242288,0.9640495933867516,0.9188650240089703,none,0
0.9395938874821362,0.9253499532670583,0.9205317621527894,0.9924801048510512,0.9678507742982523,none,0
0.9153545202369673,0.9949799937716625,0.9653649760438304,0.9906431059419479,0.9814814420961806,none,0
0.9085502494538964,0.9219909479901515,0.9873646802561631,0.9805185132716732,0.9489549203017925,none,0
0.9558663691654391,1.0,0.9204214305582085,0.9773548690585019,0.9398903673783052,none,0
0.939115939838639,1.0,0.9912708174494015,0.9906754818000318,1.0,none,0
0.9510501920816379,0.9840976485647481,0.9344866621703272,0.966208317624422,0.9434928472816158,none,0
0.9548497982496359,0.9797578512718457,0.9090889658383263,1.0,0.8996991309250149,none,0
0.8892905693606133,1.0,0.9895831346981467,0.9812059908526077,0.981417275463214,none,0
0.9493876613576542,0.9051372814257084,0.9537902279096863,0.9161419144243944,0.9987559866708875,none,0
0.942647130924893,0.9087251401603744,0.9339307079173503,0.9706465727137812,0.9218137723598012,none,0
0.9088889802216784,0.9621843605745956,0.9622483285554361,0.9246528412314434,0.9264480847190838,none,0
0.9616024968678818,0.8775957829251337,0.8796268112811721,0.9140777889373781,0.9393276424144076,none,0
0.9655453782799002,1.0,0.992882981160101,0.9420030735018285,0.9490491896048655,none,0
0.8998735317681095,0.9490743432003804,0.935567068053993,0.9661359280169044,0.9086384528223838,none,0
0.9759673257120586,1.0,0.9445619925771571,0.970085586104947,0.9845071995855555,none,0
0.9299389764057081,0.9612046240905208,0.9506296200390897,0.9548838049274415,0.9113495108072266,none,0
0.9512255087129471,0.9748999145622724,1.0,0.9979635413042603,1.0,none,0
0.9116326218555975,0.9936160318360339,0.9591671002869175,1.0,0.9095850857322424,none,0
0.9080139078909611,0.9200303677277989,0.8438052137845096,0.9237122489159619,0.912043366922315,none,0
0.9575196893238104,0.967087798788858,1.0,0.9975211919093024,0.9211548172168798,none,0
0.9050792664325821,0.9745959585753252,0.8839883396489678,1.0,1.0,none,0
0.9265412173947647,0.864343273545456,1.0,0.9442730077373691,1.0,none,0
0.8702786170602816,0.9200312488523114,0.9502621849859091,0.9523490296882371,0.9274967264260378,none,0
0.9811424966173748,0.8966189785308702,0.9428810257489353,0.9560147815855949,0.9757219417029374,none,0
0.9855807439044444,0.8937678954081065,0.8732942914632188,1.0,0.9666157005989795,none,0
0.9125756731721723,1.0,0.9557837317146429,1.0,0.9533759240705054,none,0
1.0,1.0,0.9375517925760463,0.9985785475477177,0.9822687974792573,none,0
1.0,0.9017538269709947,0.984302572999922,1.0,0.8620630256788442,none,0
0.8908370743667112,0.8480383911119949,0.936529658277772,0.9858771127897981,1.0,none,0
0.9537047390209887,1.0,0.8809949270892554,0.8648308780322422,0.947222615055169,none,0
0.9692032724469654,0.9483652625952953,0.8466278949980062,0.9455439980243605,0.8847765249747573,none,0
0.9834836274415019,0.9683299123048423,0.9030060106836322,0.9243066541331653,0.8970393239055524,none,0
0.9468660451363413,0.9977571160250619,0.9007136976832227,0.9752023257758922,0.9234871190813779,none,0
0.9103563583868828,0.944648482002272,0.8982378838790313,0.9223175347326409,0.8901061053705576,none,0
1.0,0.9517631775985864,0.9150137246003707,0.960698995536711,0.9443835975154584,none,0
0.9389515200233388,0.9807083350021712,0.9878753855023652,0.9234749426194736,0.9212090879677659,none,0
0.9362474151424177,0.8349039417632207,0.8742404468900723,1.0,1.0,none,0
0.937548198022181,0.9788278481527882,0.9655625077271768,1.0,1.0,none,0
0.9436041204259616,0.9022229779699786,0.8696776839871213,0.9601731817933611,0.9121824627357847,none,0
0.8788873145201163,0.9176713557878736,0.8959225998192802,1.0,0.9940819878474725,none,0
0.949601367934169,1.0,0.9538684153823809,0.9069357899335868,1.0,none,0
0.9769455021842329,0.8981376922836771,0.9404830660958196,0.9062190873307621,0.8808600134517831,none,0
0.996308877376582,1.0,0.8800716213090429,0.9781484618345285,0.9174678715439086,none,0
0.9256437308117651,0.9203803037880565,0.9068004615160091,0.9524260813972413,0.9084524941794481,none,0
0.9635228412889919,0.9474880945275431,0.9380525976566795,0.9046218168979201,0.9211614334715833,none,0
0.9877695612912878,0.975045859381219,0.9011222377600724,0.9549666152714612,0.9875693561685894,none,0
0.8665297359439313,0.9771680096189967,0.9168688120527076,0.9785299334296579,0.9118370421728741,none,0
0.859755894966774,0.8686228781058418,0.952404247333069,0.9629861250860741,0.9047841687447795,none,0
0.9819296229388687,0.866923996886552,0.9466960100676342,0.8894491900118772,0.917408194609892,none,0
0.9523699335658207,0.9069793317358024,0.9307722227885087,1.0,0.9211554065238425,none,0
0.9917846056032571,0.8935146572671191,0.9764902088957641,1.0,0.8264177749936354,none,0
0.9101552372264761,0.978853606359027,0.9398477306978503,0.9685572936685654,0.9198007406642089,none,0
0.9543294893736449,0.942216138230396,1.0,0.9627210421650606,0.9668801331037601,none,0
0.9294061516938766,0.9256196887963752,0.9283720906090189,0.9697226071189148,0.9289507759589868,none,0
0.9644887428448206,1.0,0.9935562351715845,0.9336988233916079,1.0,none,0
0.9295962313489223,0.8480937732411072,0.8995956844541297,0.8564604039487071,0.9324243257979346,none,0
0.9509209189594775,1.0,0.9663463686882081,0.9390449735595567,0.9914702790591744,none,0
0.8394432345496057,0.9617807279054282,0.9885432596943483,0.8760706877110078,1.0,none,0
0.9669248203747207,0.9292356043049599,0.9816390933053142,1.0,0.9590933127529248,none,0
